"Country or Area";"Year";"Value";"Value Footnotes"
"229";"Source: Solomon Island Poverty Profile based on the 2012/13 Household Income and Expenditure Survey, December 2015 The welfare measure used is consumption per adult equivalent. Poverty line is absolute. Government estimate."
"230";"Source: SIHBS 2022"
"231";"Source: Ministry of Finance website: POVERTY AND INEQUALITY Poverty and inequality. Poverty line is absolute. Government estimate."
"232";"Source:  Ministry of Finance website: POVERTY AND INEQUALITY Poverty and inequality. Poverty line is absolute. Government estimate."
"233";"Source: Department of Census and Statistics"
"234";"Source:  Poverty Indicators - Household Income and Expenditure Survey 2006/07 by Department of Census and Statistics. Ministry of Finance and Planning. ISSN 1391-4695 (March 2008). Poverty line is absolute. Government estimate."
"235";"Saint Lucia National Report of Living Conditions 2016"
"236";"Source: Saint Lucia National Report of Living Conditions 2016 - Final Report, December 2018"
"237";"Source: IDB-World Bank Poverty and Equity Assessment"
"238";"Source: TurkStat. Poverty line is relative."
"239";"Source: TurkStat. Poverty line is relative. Government estimate. (www.tuik.gov.tr)"
"240";"Source: TajStat"
"241";"Source: Information Brief on poverty in Tajikistan prepared by Joost de Laat. Poverty line is absolute. World Bank estimate."
"242";"Source: World Bank (2009). Republic of Tajikistan Poverty Assessment Report No. 51341-TJ. Poverty line is absolute. World Bank estimate."
"243";"Source:  Tajikistan PA 2012 - Input Tajikistan ER. Poverty line is absolute. World Bank estimate."
"244";"Source: Tanzania Mainland Household Budget Survey"
"245";"Source: Tanzania Mainland Household Budget Survey. Poverty line is absolute. Government estimate."
"246";"Source:  National Bureau of Statistics: HOUSEHOLD BUDGET SURVEY 2000/01. Poverty line is absolute. Government estimate."
"247";"Source: NESDC"
"248";"Source:  National Statistical Office. Thailand Socio-economic Survey (SES), compiled by Office of the National Economic and Social Development Board, NESDB The welfare measure used is consumption per capita. Poverty line is absolute. Government estimate."
"249";"Source: Tonga Statistics Department"
"250";"Source: GOT (2010), 2nd National Millennium Development Goals Report The welfare measure used is consumption per capita. Poverty line is absolute. Government estimate."
"251";"Source: National Statistical Institute (INS)"
"252";"Source: UBOS"
"253";"Source:  UGANDA BUREAU OF STATISTICS: UGANDA NATIONAL HOUSEHOLD SURVEY 20002/2003 REPORT ON THE SOCIO-ECONOMIC SURVEY. Poverty line is absolute. Government estimate."
"254";"Source: Ukrstat: https://ukrstat.gov.ua/druk/publicat/kat_u/2021/zb/06/vrd_20_ue.pdf"
"255";"Source: Ukrstat:"
"256";"Source: INE Uruguay"
"257";"Source: Most Recent Comparable Series:2012,2013. 2nd Most Recent Comparable Series:2010,2011. 3rd Most Recent Comparable Series:2001,2002,2003,2004,2005. The complete series can be downloaded from the databank, http://databank.worldbank.org/data/reports.aspx?source=poverty-and-equity-database."
"258";"Source: Living standards improvement strategy in the Republic of Uzbekistan for 2013-2015. Poverty line is absolute. Government estimate."
"259";"Source: Welfare improvement strategy of Uzbekistan. Full strategy paper for 2008-2010. Poverty line is absolute. World Bank estimate."
"260";"Source:  Encuesta de Hogares Por Muestreo; Moderate Poverty Line (individuals). Poverty line is absolute. Government estimate."
"261";"Source: General Statistics Office of Vietnam"
"262";"Source: 

General Statistics Office of Vietnam"
"263";"Source: Vietnam Household Living Standards Survey (VHLSS), 2014 Poverty line is absolute. Government estimate."
"264";"Source: Vietnam Household Living Standards Survey (VHLSS), 2012 Poverty line is absolute. Government estimate."
"265";"Source: Vietnam Household Living Standards Survey (VHLSS), 2010 Poverty line is absolute. Government estimate."
"266";"Source: VHLSS 2008 data, based on 1993 WB/GSO expenditure poverty line adjusted for inflation The welfare measure used is consumption per capita. Poverty line is absolute. Government estimate."
"267";"Source: VHLSS 2006 data, based on 1993 WB/GSO expenditure poverty line adjusted for inflation The welfare measure used is consumption per capita. Poverty line is absolute. Government estimate."
"268";"Source: VHLSS 2004 data, based on 1993 WB/GSO expenditure poverty line adjusted for inflation The welfare measure used is consumption per capita. Poverty line is absolute. Government estimate."
"269";"Source: VHLSS 2002 data, based on 1993 WB/GSO expenditure poverty line adjusted for inflation The welfare measure used is consumption per capita. Poverty line is absolute. Government estimate."
"270";"Source:  VLSS 1998 data, based on 1993 WB/GSO expenditure poverty line adjusted for inflation The welfare measure used is consumption per capita. Poverty line is absolute. Government estimate."
"271";"Source:  VLSS 1993 data, based on WB/GSO expenditure poverty line The welfare measure used is consumption per capita. Poverty line is absolute. Government estimate."
"272";"Source: Palestinian Central Bureau of Statistics"
"273";"Source: The Government of Yemen, The World Bank and the UNDP, 2007. Yemen Poverty Assessment, Volume 1. Poverty line is absolute. Government estimate."
"274";"Source:  The Government of Yemen, The World Bank and the UNDP, 2007. Yemen Poverty Assessment, Volume 1. Poverty line is absolute. Government estimate."
"275";"Source: Central Statistical Office: Poverty Trends Report 1996-2006. Poverty line is absolute. Government estimate."
"276";"Source:  Central Statistical Office: Poverty Trends Report 1996-2006. Poverty line is absolute. Government estimate."
"277";"Source: Mini-PICES 2019 (April/ May 2019)"
"278";"Source: Poverty Income and Consumption Expenditure Survey (PICES) 2017."
"279";"Source: Poverty Income and Consumption Expenditure Survey (PICES) 2011/12."
"280";"Source: Poverty Income and Consumption Expenditure Survey (PICES) 2001/02"
"281";"Source:  Poverty in Zimbabwe (published July 1998), Government of Zimbabwe, Central Statistical Office. Poverty line is absolute. Government estimate."
