Series Name,"Series Code","Country Name","Country Code","Time","Time Code","Value"
"Educational attainment, at least completed lower secondary, population 25+, total (%) (cumulative)","SE.SEC.CUAT.LO.ZS","Brazil","BRA","2018","YR2018","60.0145111083984"
"Educational attainment, at least completed lower secondary, population 25+, total (%) (cumulative)","SE.SEC.CUAT.LO.ZS","Brazil","BRA","2019","YR2019","63"
"Educational attainment, at least completed lower secondary, population 25+, total (%) (cumulative)","SE.SEC.CUAT.LO.ZS","Brazil","BRA","2020","YR2020","65.2"
"Educational attainment, at least completed lower secondary, population 25+, total (%) (cumulative)","SE.SEC.CUAT.LO.ZS","Brazil","BRA","2021","YR2021","66.2"
"Educational attainment, at least completed lower secondary, population 25+, total (%) (cumulative)","SE.SEC.CUAT.LO.ZS","Brazil","BRA","2022","YR2022","66.5"
"Educational attainment, at least completed lower secondary, population 25+, total (%) (cumulative)","SE.SEC.CUAT.LO.ZS","Brazil","BRA","2023","YR2023","67.2"
"Educational attainment, at least completed lower secondary, population 25+, total (%) (cumulative)","SE.SEC.CUAT.LO.ZS","Brazil","BRA","2024","YR2024","NA"
"Educational attainment, at least completed lower secondary, population 25+, total (%) (cumulative)","SE.SEC.CUAT.LO.ZS","Belgium","BEL","2013","YR2013","81.5879364013672"
"Educational attainment, at least completed lower secondary, population 25+, total (%) (cumulative)","SE.SEC.CUAT.LO.ZS","Belgium","BEL","2014","YR2014","82.3405303955078"
"Educational attainment, at least completed lower secondary, population 25+, total (%) (cumulative)","SE.SEC.CUAT.LO.ZS","Belgium","BEL","2015","YR2015","84.3579177856445"
"Educational attainment, at least completed lower secondary, population 25+, total (%) (cumulative)","SE.SEC.CUAT.LO.ZS","Belgium","BEL","2016","YR2016","84.7895202636719"
"Educational attainment, at least completed lower secondary, population 25+, total (%) (cumulative)","SE.SEC.CUAT.LO.ZS","Belgium","BEL","2017","YR2017","86.5041732788086"
"Educational attainment, at least completed lower secondary, population 25+, total (%) (cumulative)","SE.SEC.CUAT.LO.ZS","Belgium","BEL","2018","YR2018","87.3258293777923"
"Educational attainment, at least completed lower secondary, population 25+, total (%) (cumulative)","SE.SEC.CUAT.LO.ZS","Belgium","BEL","2019","YR2019","88.4269638061523"
"Educational attainment, at least completed lower secondary, population 25+, total (%) (cumulative)","SE.SEC.CUAT.LO.ZS","Belgium","BEL","2020","YR2020","88.2376237341186"
"Educational attainment, at least completed lower secondary, population 25+, total (%) (cumulative)","SE.SEC.CUAT.LO.ZS","Belgium","BEL","2021","YR2021","88.5607173632664"
"Educational attainment, at least completed lower secondary, population 25+, total (%) (cumulative)","SE.SEC.CUAT.LO.ZS","Belgium","BEL","2022","YR2022","88.7167430084043"
"Educational attainment, at least completed lower secondary, population 25+, total (%) (cumulative)","SE.SEC.CUAT.LO.ZS","Belgium","BEL","2023","YR2023","88.857280524325"
"Educational attainment, at least completed lower secondary, population 25+, total (%) (cumulative)","SE.SEC.CUAT.LO.ZS","Belgium","BEL","2024","YR2024","NA"
"Educational attainment, at least completed lower secondary, population 25+, total (%) (cumulative)","SE.SEC.CUAT.LO.ZS","Ireland","IRL","2013","YR2013","84.0076737757631"
"Educational attainment, at least completed lower secondary, population 25+, total (%) (cumulative)","SE.SEC.CUAT.LO.ZS","Ireland","IRL","2014","YR2014","86.8811158408756"
"Educational attainment, at least completed lower secondary, population 25+, total (%) (cumulative)","SE.SEC.CUAT.LO.ZS","Ireland","IRL","2015","YR2015","87.1459000285528"
"Educational attainment, at least completed lower secondary, population 25+, total (%) (cumulative)","SE.SEC.CUAT.LO.ZS","Ireland","IRL","2016","YR2016","87.3533462958035"
"Educational attainment, at least completed lower secondary, population 25+, total (%) (cumulative)","SE.SEC.CUAT.LO.ZS","Ireland","IRL","2017","YR2017","86.1611022949219"
"Educational attainment, at least completed lower secondary, population 25+, total (%) (cumulative)","SE.SEC.CUAT.LO.ZS","Ireland","IRL","2018","YR2018","88.2008757922225"
