Country.Name,Country.Code,Time,ed_attain_low_sec,gini_index,labor_adv_edu,edu_exp_public,gdp_per_capita,cancellazioni
France,FRA,2019,85.5956573486328,31.2,76.637,91.5382308959961,51130.4723140578,2403
France,FRA,2020,86.4647576771151,30.7,75.651,91.9781188964844,49481.8044309655,2735
France,FRA,2021,90.7347194200938,31.5,77.388,91.2592086791992,52517.3354905855,2315
France,FRA,2022,91.042855672505,31.2,77.286,91.0036010742188,57042.9449013772,2838
France,FRA,2023,91.6159036525416,31.8,77.218,NA,60838.9416716424,3089
Australia,AUS,2013,91.081413269043,NA,82.581,NA,46123.4750962848,365
Australia,AUS,2014,91.8276672363281,34.4,81.277,NA,47108.5906459966,449
Australia,AUS,2015,92.6488571166992,NA,82.086,NA,46464.5867627929,467
Australia,AUS,2016,92.7639923095703,33.7,81.42,NA,47446.2103030951,572
Australia,AUS,2017,93.0057067871094,NA,81.796,NA,48564.8286592372,641
Australia,AUS,2018,93.4390716552734,34.3,78.824,NA,50371.233830782,641
Australia,AUS,2019,93.9455032348633,NA,79.215,NA,52885.8313816377,526
Australia,AUS,2020,94.5065307617188,33.8,78.315,NA,54184.1614486854,630
Australia,AUS,2021,94.5512771606445,NA,78.939,NA,58327.4146842325,510
Australia,AUS,2022,95.0222778320312,NA,78.775,NA,66103.1797066957,481
Australia,AUS,2023,92.8643691983533,NA,79.332,NA,72272.7092136683,680
Australia,AUS,2024,93.1921740157615,NA,79.454,NA,72111.1844628126,1008
Austria,AUT,2014,99.5548477172852,30.5,76.676,95.0187911987305,48355.4977624407,395
Austria,AUT,2015,98.9923808970287,30.5,76.79,94.5102081298828,49549.3162311441,530
Austria,AUT,2016,98.9686390822096,30.8,76.749,93.7537612915039,52397.8635176674,508
Austria,AUT,2017,99.0295070633791,29.7,77.229,93.3056716918945,53869.8321183556,519
Austria,AUT,2018,98.931992061047,30.8,76.643,92.8928527832031,56636.4953030542,485
Austria,AUT,2019,98.8267504410167,30.2,76.606,93.13623046875,60354.9279422121,518
Austria,AUT,2020,98.9565351673245,29.8,76.765,93.1524200439453,58523.0337816246,624
Austria,AUT,2021,94.7140197753906,30.7,76.768,92.7644729614258,62968.9422311892,513
Brazil,BRA,2013,55.8442993164062,52.7,81.478,93.7622909545898,15722.3335243701,880
Brazil,BRA,2014,56.3307189941406,52.1,82.883,93.4343032836914,15827.3081625749,969
Brazil,BRA,2015,57.5709915161133,51.9,83.271,96.0512619018555,14821.4383175183,1428
Brazil,BRA,2016,58.2031097412109,53.4,83.492,96.6319885253906,14309.2061488342,1635
