DATAFLOW,LAST UPDATE,freq,unit,sex,age,citizen,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG,CONF_STATUS
ESTAT:LFSA_EGAN(1.0),17/04/26 11:00:00,Annual,Thousand persons,Females,From 15 to 64 years,EU27 countries (from 2020) except reporting country,Italy,2024,366.7,,
ESTAT:LFSA_EGAN(1.0),17/04/26 11:00:00,Annual,Thousand persons,Females,From 15 to 64 years,EU27 countries (from 2020) except reporting country,United Kingdom,2013,711.1,,
ESTAT:LFSA_EGAN(1.0),17/04/26 11:00:00,Annual,Thousand persons,Females,From 15 to 64 years,EU27 countries (from 2020) except reporting country,United Kingdom,2014,831.4,,
ESTAT:LFSA_EGAN(1.0),17/04/26 11:00:00,Annual,Thousand persons,Females,From 15 to 64 years,EU27 countries (from 2020) except reporting country,United Kingdom,2015,963.1,,
ESTAT:LFSA_EGAN(1.0),17/04/26 11:00:00,Annual,Thousand persons,Females,From 15 to 64 years,EU27 countries (from 2020) except reporting country,United Kingdom,2016,1027.1,,
ESTAT:LFSA_EGAN(1.0),17/04/26 11:00:00,Annual,Thousand persons,Females,From 15 to 64 years,EU27 countries (from 2020) except reporting country,United Kingdom,2017,1083.8,,
ESTAT:LFSA_EGAN(1.0),17/04/26 11:00:00,Annual,Thousand persons,Females,From 15 to 64 years,EU27 countries (from 2020) except reporting country,United Kingdom,2018,1070.4,,
ESTAT:LFSA_EGAN(1.0),17/04/26 11:00:00,Annual,Thousand persons,Females,From 15 to 64 years,EU27 countries (from 2020) except reporting country,United Kingdom,2019,1112.9,,
ESTAT:LFSA_EGAN(1.0),17/04/26 11:00:00,Annual,Thousand persons,Females,From 15 to 64 years,Total,Germany,2013,18056.1,,
ESTAT:LFSA_EGAN(1.0),17/04/26 11:00:00,Annual,Thousand persons,Females,From 15 to 64 years,Total,Germany,2014,18210.0,,
ESTAT:LFSA_EGAN(1.0),17/04/26 11:00:00,Annual,Thousand persons,Females,From 15 to 64 years,Total,Germany,2015,18367.7,,
ESTAT:LFSA_EGAN(1.0),17/04/26 11:00:00,Annual,Thousand persons,Females,From 15 to 64 years,Total,Germany,2016,18789.7,,
ESTAT:LFSA_EGAN(1.0),17/04/26 11:00:00,Annual,Thousand persons,Females,From 15 to 64 years,Total,Germany,2017,18929.4,,
ESTAT:LFSA_EGAN(1.0),17/04/26 11:00:00,Annual,Thousand persons,Females,From 15 to 64 years,Total,Germany,2018,19027.9,,
ESTAT:LFSA_EGAN(1.0),17/04/26 11:00:00,Annual,Thousand persons,Females,From 15 to 64 years,Total,Germany,2019,19258.7,,
ESTAT:LFSA_EGAN(1.0),17/04/26 11:00:00,Annual,Thousand persons,Females,From 15 to 64 years,Total,Germany,2020,18881.3,b,
ESTAT:LFSA_EGAN(1.0),17/04/26 11:00:00,Annual,Thousand persons,Females,From 15 to 64 years,Total,Germany,2021,18588.4,b,
ESTAT:LFSA_EGAN(1.0),17/04/26 11:00:00,Annual,Thousand persons,Females,From 15 to 64 years,Total,Germany,2022,19033.1,,
ESTAT:LFSA_EGAN(1.0),17/04/26 11:00:00,Annual,Thousand persons,Females,From 15 to 64 years,Total,Germany,2023,19234.5,,
ESTAT:LFSA_EGAN(1.0),17/04/26 11:00:00,Annual,Thousand persons,Females,From 15 to 64 years,Total,Germany,2024,19295.6,,
ESTAT:LFSA_EGAN(1.0),17/04/26 11:00:00,Annual,Thousand persons,Females,From 15 to 64 years,Total,Spain,2013,7764.7,,
ESTAT:LFSA_EGAN(1.0),17/04/26 11:00:00,Annual,Thousand persons,Females,From 15 to 64 years,Total,Spain,2014,7846.8,,
ESTAT:LFSA_EGAN(1.0),17/04/26 11:00:00,Annual,Thousand persons,Females,From 15 to 64 years,Total,Spain,2015,8041.5,,
ESTAT:LFSA_EGAN(1.0),17/04/26 11:00:00,Annual,Thousand persons,Females,From 15 to 64 years,Total,Spain,2016,8272.5,,
ESTAT:LFSA_EGAN(1.0),17/04/26 11:00:00,Annual,Thousand persons,Females,From 15 to 64 years,Total,Spain,2017,8486.6,,
ESTAT:LFSA_EGAN(1.0),17/04/26 11:00:00,Annual,Thousand persons,Females,From 15 to 64 years,Total,Spain,2018,8716.7,,
ESTAT:LFSA_EGAN(1.0),17/04/26 11:00:00,Annual,Thousand persons,Females,From 15 to 64 years,Total,Spain,2019,8945.1,,
ESTAT:LFSA_EGAN(1.0),17/04/26 11:00:00,Annual,Thousand persons,Females,From 15 to 64 years,Total,Spain,2020,8669.1,,
ESTAT:LFSA_EGAN(1.0),17/04/26 11:00:00,Annual,Thousand persons,Females,From 15 to 64 years,Total,Spain,2021,8977.9,bd,
ESTAT:LFSA_EGAN(1.0),17/04/26 11:00:00,Annual,Thousand persons,Females,From 15 to 64 years,Total,Spain,2022,9294.7,d,
