Country Name,Country Code,Series Name,Series Code,2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021],2022 [YR2022],2023 [YR2023],2024 [YR2024]
Spain,ESP,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,-1.42732224757626,1.52048593647231,4.06086672473866,2.91515598595787,2.89604207865007,2.39541124478878,1.96117850841711,-10.9400706350371,6.68314420473001,6.37031712129601,2.46085796805582,3.45525405630191
Spain,ESP,GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,-1.07017018206768,1.83396646193863,4.14701193619516,2.83577124069477,2.64617061107108,1.93406292039191,1.23303741249605,-11.3931290455953,6.49336738803039,5.60841068844668,1.26057958891062,2.40413218623925
Netherlands,NLD,Gini index,SI.POV.GINI,28.1,28.6,28.2,28.2,28.5,28.1,29.2,26,25.7,..,..,..
Netherlands,NLD,"Inflation, GDP deflator: linked series (annual %)",NY.GDP.DEFL.KD.ZG.AD,1.144927441192,0.344078059275915,0.888432954114009,0.565543760069971,1.43932706656167,2.53340289331616,3.02788370008784,2.35573022306261,2.74734329748038,6.15557496508328,7.34374256326598,5.1998130297299
Netherlands,NLD,"Unemployment, total (% of total labor force) (national estimate)",SL.UEM.TOTL.NE.ZS,7.241,7.419,6.872,6.007,4.837,3.832,3.379,3.82,4.209,3.526,3.535,3.638
Netherlands,NLD,"Wage and salaried workers, total (% of total employment) (modeled ILO estimate)",SL.EMP.WORK.ZS,85.3637565742668,85.1495382023773,85.0187069470031,85.0773011325742,85.245434412025,85.2180419417235,85.3801594136406,84.1076178382467,84.187816400475,83.3450171319993,83.2123998645944,83.1712869133384
Netherlands,NLD,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,-0.0302325600539604,1.61261001294011,2.12060523860846,2.42428572955482,2.78154619309936,2.2587403735731,2.30009157916757,-3.86795333823223,6.2768306708326,5.00723455159611,-0.598096167209832,1.08100584845663
Netherlands,NLD,GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,-0.324530183160419,1.24763624808071,1.66898777013176,1.88065314524779,2.17569091526914,1.66335743670078,1.63214291771632,-4.40052537279003,5.72193522957718,4.0109788096194,-1.57745734337647,0.427291768689813
Italy,ITA,Gini index,SI.POV.GINI,34.9,34.7,35.4,35.2,35.9,35.2,34.6,35.2,34.8,33.7,34.3,..
Italy,ITA,"Inflation, GDP deflator: linked series (annual %)",NY.GDP.DEFL.KD.ZG.AD,1.12578403623358,0.902550708834269,0.782776477740896,1.24817184167345,0.709821715080693,1.07058151640653,1.04700690430435,1.57740278796771,1.28332187292641,3.45535917134771,5.91461605792436,2.11108991995954
Italy,ITA,"Unemployment, total (% of total labor force) (national estimate)",SL.UEM.TOTL.NE.ZS,12.149,12.683,11.896,11.688,11.211,10.538,9.884,9.192,9.497,8.069,7.627,6.499
Italy,ITA,"Wage and salaried workers, total (% of total employment) (modeled ILO estimate)",SL.EMP.WORK.ZS,75.1788110290501,75.3203614961451,75.6205211453631,76.0650097532957,76.8001878901019,77.0102781702925,77.1945733999865,77.4326783099876,78.168173103786,78.5758441085737,78.7045749624284,78.7528905228471
Italy,ITA,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,-1.81802510749792,-0.00138761730454462,0.885667635240807,1.23622108511661,1.60369995294101,0.826646712344115,0.429162533780342,-8.86822122185345,8.93106210800055,4.82117669913565,0.975694840127005,0.692676948440536
Italy,ITA,GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,-2.01397031609169,-0.0164634913490715,1.03826511770654,1.42884453159633,1.79499729937032,0.581227670101029,1.13464411867925,-8.42323993924451,9.49416108466208,5.0334454866795,1.02611231433292,0.746500224061592
Germany,DEU,Gini index,SI.POV.GINI,31.4,30.8,31.4,31.3,31.3,31.9,32.2,32.5,33.6,33.7,..,..
Germany,DEU,"Inflation, GDP deflator: linked series (annual %)",NY.GDP.DEFL.KD.ZG.AD,1.99503160336462,1.90082490446211,1.68539776821872,1.25625863629057,1.46798916726962,1.86533423151265,2.01597612276328,1.75504599873261,2.80292936590148,6.09185663198414,6.14291652076442,3.10601366099202
Germany,DEU,"Unemployment, total (% of total labor force) (national estimate)",SL.UEM.TOTL.NE.ZS,5.316,4.979,4.612,4.104,3.781,3.384,3.163,3.881,3.54,3.098,2.978,3.364
Germany,DEU,"Wage and salaried workers, total (% of total employment) (modeled ILO estimate)",SL.EMP.WORK.ZS,88.842178508868,89.0873953805387,89.291046410214,89.4731986136907,89.7128591779512,90.0808193417758,90.4244931119561,91.1247938796972,91.0144045656523,91.5213527121689,91.7001969162557,91.8201665053189
Germany,DEU,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,0.396995583779145,2.18018602168017,1.66300602334775,2.22222216259371,2.797906720551,1.13569604599849,0.977734697038784,-4.13191443239947,3.90999994204108,1.8092581243061,-0.869647578573321,-0.495851897260366
Germany,DEU,GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,0.12338547838786,1.75510660613023,0.786705244581157,1.40038690062336,2.4144426920242,0.832212527052548,0.750266426253219,-4.21020011825779,3.86602720371127,1.83161439976671,-0.999929288913975,-0.769070552658818
France,FRA,Gini index,SI.POV.GINI,32.5,32.3,32.7,31.9,31.6,32.4,31.2,30.7,31.5,31.2,31.8,..
France,FRA,"Inflation, GDP deflator: linked series (annual %)",NY.GDP.DEFL.KD.ZG.AD,0.747875807422233,0.570795054388284,1.13444009013935,0.517258232209031,0.586343157961707,1.11459331332806,1.21052308336793,2.97797868174696,1.22181614073425,3.22063216992299,5.30357173576937,2.31295798668936
France,FRA,"Unemployment, total (% of total labor force) (national estimate)",SL.UEM.TOTL.NE.ZS,9.913,10.273,10.354,10.057,9.409,9.018,8.415,8.009,7.871,7.303,7.335,7.436
